speed_rpm,target_torque_nm,state,flux_scale,psi_f_wb,ke_relative,id_a,iq_a,torque_nm,current_a,voltage_v,voltage_margin_v,current_margin_a,copper_loss_w,feasible
0.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,8.139889434138526,199.70620747412678,27.431730453184997,2839.6200000000003,True
0.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,8.756717421499909,199.0893794867654,9.808073671431202,3286.2899999999995,True
0.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
0.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
250.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,16.625047252303958,191.22104965596134,27.431730453184997,2839.6200000000003,True
250.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,17.018788285780875,190.82730862248442,9.808073671431202,3286.2899999999995,True
250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
500.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,25.732173175093376,182.11392373317193,27.431730453184997,2839.6200000000003,True
500.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,26.15518111028493,181.69091579798038,9.808073671431202,3286.2899999999995,True
500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
750.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,34.978785292159124,172.86731161610618,27.431730453184997,2839.6200000000003,True
750.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,35.497086254884636,172.34901065338067,9.808073671431202,3286.2899999999995,True
750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
1000.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,44.27758178522463,163.56851512304067,27.431730453184997,2839.6200000000003,True
1000.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,44.916456402314,162.9296405059513,9.808073671431202,3286.2899999999995,True
1000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
1000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
1250.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,53.601410625186546,154.24468628307875,27.431730453184997,2839.6200000000003,True
1250.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,54.373047260334516,153.4730496479308,9.808073671431202,3286.2899999999995,True
1250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
1250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
1500.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,62.9391478914577,144.9069490168076,27.431730453184997,2839.6200000000003,True
1500.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,63.85032318232624,143.99577372593907,9.808073671431202,3286.2899999999995,True
1500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
