variant,psi_scale,ld_scale,lq_scale,vdc_scale,imax_scale,psi_f_wb,ld_h,lq_h,saliency_ratio,vdc_v,imax_a,score,low_peak_id_a,low_peak_iq_a,low_peak_torque_nm,low_peak_current_a,low_peak_voltage_v,low_peak_voltage_margin_v,low_peak_current_margin_a,low_peak_copper_loss_w,low_peak_feasible,high_target_id_a,high_target_iq_a,high_target_torque_nm,high_target_current_a,high_target_voltage_v,high_target_voltage_margin_v,high_target_current_margin_a,high_target_copper_loss_w,high_target_feasible,high_max_id_a,high_max_iq_a,high_max_torque_nm,high_max_current_a,high_max_voltage_v,high_max_voltage_margin_v,high_max_current_margin_a,high_max_copper_loss_w,high_max_feasible
psi1.00_ld0.80_lq1.60_vdc1.15_imax1.15,1.0,0.8,1.6,1.15,1.15,0.055,0.000144,0.0006720000000000001,4.666666666666667,413.99999999999994,299.0,3.8014119848430443,-101.0,154.0,100.09507200000002,184.16568627190028,51.932739544220816,187.09027190028425,114.83431372809972,1780.6425000000004,True,-223.0,58.0,60.114912000000004,230.41918322917473,234.96575745966203,4.057253984843044,68.58081677082527,2787.3825,True,-291.0,64.0,80.12083200000001,297.9546945426435,236.3792095929507,2.6438018515543718,1.0453054573565055,4660.7925,True
psi0.70_ld0.80_lq1.60_vdc1.15_imax1.15,0.7,0.8,1.6,1.15,1.15,0.0385,0.000144,0.0006720000000000001,4.666666666666667,413.99999999999994,299.0,3.725867794967053,-127.0,158.0,100.06708800000001,202.71408436514716,50.88275971962429,188.14025172488078,96.28591563485284,2157.3825,True,-215.0,66.0,60.19992,224.90220096744272,233.94402564953802,5.078985794967053,74.09779903255728,2655.5024999999996,True,-291.0,66.0,76.090608,298.390683500675,233.5918148177198,5.431196626785265,0.6093164993250184,4674.442499999999,True
psi0.85_ld1.00_lq1.60_vdc1.15_imax1.15,0.85,1.0,1.6,1.15,1.15,0.04675,0.00018,0.0006720000000000001,3.7333333333333334,413.99999999999994,299.0,3.1623385673953397,-117.0,160.0,100.14144000000002,198.2145302443794,51.78534084363096,187.2376706008741,100.7854697556206,2062.672499999999,True,-213.0,66.0,60.012216,222.9910312097776,234.66648087710973,4.356530567395339,76.00896879022241,2610.5625000000005,True,-291.0,66.0,75.209112,298.390683500675,234.56670131608797,4.456310128417101,0.6093164993250184,4674.442499999999,True
psi1.00_ld1.00_lq1.30_vdc1.15_imax1.00,1.0,1.0,1.3,1.15,1.0,0.055,0.00018,0.000546,3.033333333333333,413.99999999999994,260.0,2.595772300744887,-112.0,174.0,100.21564800000002,206.92993983471797,48.361497990771255,190.66151345373382,53.07006016528203,2248.0500000000006,True,-210.0,76.0,60.128159999999994,223.32935319836486,233.5984791437602,5.424532300744886,36.670646801635144,2618.4900000000002,True,-246.0,80.0,69.61728000000001,258.68127106537884,235.10534322961766,3.9176682148874136,1.3187289346211628,3513.0899999999992,True
psi1.00_ld1.20_lq1.60_vdc1.15_imax1.15,1.0,1.2,1.6,1.15,1.15,0.055,0.00021600000000000002,0.0006720000000000001,3.111111111111111,413.99999999999994,299.0,2.5790561725893433,-111.0,158.0,100.123968,193.0932417253385,51.786742133587296,187.23626931091778,105.90675827466151,1957.4624999999996,True,-213.0,66.0,60.24268800000001,222.9910312097776,235.23980927191573,3.783202172589341,76.00896879022241,2610.5625000000005,True,-291.0,66.0,74.327616,298.390683500675,236.06848696736313,2.9545244771419448,0.6093164993250184,4674.442499999999,True
psi0.70_ld0.80_lq1.60_vdc1.15_imax1.00,0.7,0.8,1.6,1.15,1.0,0.0385,0.000144,0.0006720000000000001,4.666666666666667,413.99999999999994,260.0,2.084111456294373,-122.0,162.0,100.03435200000001,202.8003944769339,51.91874796677896,187.1042634777261,57.19960552306611,2159.2200000000003,True,-216.0,66.0,60.409008,225.85836269662454,233.8551999882107,5.167811456294373,34.14163730337546,2678.1299999999997,True,-250.0,68.0,69.56400000000001,259.0829982843336,238.9111322787367,0.11187916576838575,0.9170017156664017,3524.0099999999998,True
psi0.85_ld1.00_lq1.60_vdc1.15_imax1.00,0.85,1.0,1.6,1.15,1.0,0.04675,0.00018,0.0006720000000000001,3.7333333333333334,413.99999999999994,260.0,1.7076754880396923,-120.0,158.0,100.28891999999999,198.40362899906847,51.257426939833756,187.76558450467132,61.596371000931526,2066.6100000000006,True,-214.0,66.0,60.207048,223.94642216387382,234.53065595646538,4.492355488039692,36.05357783612618,2632.9799999999996,True,-250.0,68.0,69.25800000000001,259.0829982843336,238.70493999403914,0.3180714504659363,0.9170017156664017,3524.0099999999998,True
psi1.00_ld0.80_lq1.00_vdc1.15_imax1.15,1.0,0.8,1.0,1.15,1.15,0.055,0.000144,0.00042,2.9166666666666665,413.99999999999994,299.0,1.6596890146840746,-119.0,190.0,100.14215999999999,224.18965185752887,43.81602460871606,195.206986835789,74.81034814247113,2638.7025,True,-205.0,90.0,60.25320000000001,223.8861317723811,236.853860429821,2.1691510146840756,75.1138682276189,2631.5624999999995,True,-281.0,102.0,81.12427199999999,298.93979326948096,237.85634059061653,1.1666708538885473,0.060206730519041685,4691.6625,True
psi1.00_ld0.80_lq1.60_vdc1.15_imax1.00,1.0,0.8,1.6,1.15,1.0,0.055,0.000144,0.0006720000000000001,4.666666666666667,413.99999999999994,260.0,1.4925928753299633,-104.0,152.0,100.23974399999999,184.1738309315414,51.411362255436245,187.61164918906883,75.8261690684586,1780.8000000000002,True,-224.0,58.0,60.29865600000001,231.38712150852302,234.6363265691751,4.386684875329962,28.612878491476977,2810.85,True,-252.0,62.0,69.956832,259.5149321330085,238.51824719741612,0.5047642470889571,0.48506786699152826,3535.7699999999995,True
psi1.00_ld1.20_lq1.60_vdc1.15_imax1.00,1.0,1.2,1.6,1.15,1.0,0.055,0.00021600000000000002,0.0006720000000000001,3.111111111111111,413.99999999999994,260.0,1.1445539655969448,-108.0,160.0,100.07808,193.03885619221847,52.33677859902228,186.68623284548278,66.96114380778153,1956.3600000000004,True,-212.0,66.0,60.062112000000006,222.03603311174518,235.42723747890813,3.5957739655969476,37.96396688825482,2588.2500000000005,True,-250.0,68.0,68.952,259.0829982843336,238.55815242636913,0.46485901813593955,0.9170017156664017,3524.0099999999998,True
