candidate,cycle,reachable_points,total_points,feasible_weight,weighted_copper_loss_w,score
hybrid_excitation_if_plus_20,urban_low_speed,4,4,1.0,1271.6549999999997,0.702303907970096
baseline,urban_low_speed,4,4,1.0,1376.9699999999998,0.6854056573382956
winding_series_torque,urban_low_speed,4,4,1.0,1408.0878000000002,0.6805672064880377
winding_parallel_speed,urban_low_speed,4,4,1.0,1455.0343499999997,0.673395481226761
hybrid_excitation_if_minus_20,urban_low_speed,4,4,1.0,1488.0809999999997,0.6684371338217827
variable_flux_psi70,urban_low_speed,4,4,1.0,1981.77,0.6021956051764734
variable_flux_psi55,urban_low_speed,4,4,1.0,2384.2350000000006,0.5571822180866919
hybrid_excitation_if_plus_20,highway_high_speed,4,4,1.0,538.4819999999999,0.8478211843383688
baseline,highway_high_speed,4,4,1.0,592.6200000000001,0.8350451759440185
winding_series_torque,highway_high_speed,4,4,1.0,608.8446,0.8312909899195992
winding_parallel_speed,highway_high_speed,4,4,1.0,628.8975,0.8266973646954756
hybrid_excitation_if_minus_20,highway_high_speed,4,4,1.0,654.9059999999998,0.820814543520408
variable_flux_psi70,highway_high_speed,4,4,1.0,947.0160000000001,0.7600678588584389
variable_flux_psi55,highway_high_speed,4,4,1.0,1204.56,0.7135110451509789
hybrid_excitation_if_plus_20,launch_peak_torque,2,2,1.0,2658.1800000000003,0.530205825901615
baseline,launch_peak_torque,2,2,1.0,2839.6200000000003,0.5137320579078776
winding_series_torque,launch_peak_torque,2,2,1.0,2898.7875,0.5085790935849105
hybrid_excitation_if_minus_20,launch_peak_torque,2,2,1.0,3027.36,0.4977303496057975
variable_flux_psi70,launch_peak_torque,0,2,0.0,0.0,0.0
variable_flux_psi55,launch_peak_torque,0,2,0.0,0.0,0.0
winding_parallel_speed,launch_peak_torque,0,2,0.0,0.0,0.0
